time,command_model_x,command_model_y,command_model_theta,measured_model_x,measured_model_y,measured_model_theta,actual_x,actual_y,actual_theta,command_v,odom_v,wheel_derived_v,command_delta,left_steering,right_steering,rear_left_omega,rear_right_omega,command_position_error,measured_position_error,command_heading_error,measured_heading_error
0.020088189000000003,0.004047899600368745,7.836851783357876e-08,-3.205458239895906e-06,0.0018209797251674338,8.550681649715521e-08,-3.205458239895906e-06,0.0016913466299867336,8.974228374086746e-08,-2.8256484189999823e-06,0.12,0.009142825407867735,0.010002621187391276,0.0,0.0,0.0,0.25008421555070165,0.25004684381886216,0.0023565529704094586,0.00012963309524989235,3.7980982089592395e-07,3.7980982089592395e-07
0.040440939,0.006490229600356198,7.05397310105472e-08,-3.205458239895906e-06,0.002270447645959803,8.40660658468775e-08,-3.205458239895906e-06,0.002023353958906552,8.194791951034913e-08,-2.894704557092841e-06,0.12,0.022083891405076873,0.022543043517493266,0.0,0.0,0.0,0.5635775271789433,0.5635746486957199,0.004466875641464214,0.0002470936870623296,3.107536828030652e-07,3.107536828030652e-07
0.060165886,0.008857223240344037,6.295243174344099e-08,-3.205458239895906e-06,0.002842920290479367,8.223102869138097e-08,-3.205458239895906e-06,0.002544993591454209,7.830095927789939e-08,-2.8616510338623416e-06,0.12,0.029022772254977673,0.026426062830859652,0.0,0.0,0.0,0.6606556143908708,0.6606475271521118,0.0063122296489084885,0.0002979266990510796,3.438072060335646e-07,3.438072060335646e-07
0.08007051500000001,0.011245778720331766,5.5296016898639574e-08,-3.205458239895906e-06,0.0034946324961707314,8.01419924315997e-08,-3.205458239895906e-06,0.003168279768338885,7.405466915530618e-08,-2.920537619383229e-06,0.12,0.03274174091336805,0.03135002638817356,0.0,0.0,0.0,0.7837639384243725,0.7837373809843055,0.008077498952014662,0.00032635272788861843,2.8492062051267713e-07,2.8492062051267713e-07
0.100303024,0.013673679800319293,4.751348137611473e-08,-3.205458239895906e-06,0.004197407568616239,7.788927628482809e-08,-3.205458239895906e-06,0.003846044121388826,7.054107161276723e-08,-2.967556544051654e-06,0.12,0.03473494426465438,0.033989050350210784,0.0,0.0,0.0,0.8497370869564197,0.8497154305541196,0.009827635678957445,0.0003513634473042514,2.3790169584425234e-07,2.3790169584425234e-07
0.12068724200000001,0.016119785960306728,3.967259022989603e-08,-3.205458239895906e-06,0.004927228090793787,7.554986707836093e-08,-3.205458239895906e-06,0.004553006385395606,6.75974002110145e-08,-2.9968763789638787e-06,0.12,0.035803214142494794,0.035403449949266766,0.0,0.0,0.0,0.8850953090556357,0.8850771884077024,0.01156677957494483,0.0003742217054826786,2.0858186093202747e-07,2.0858186093202747e-07
0.140332285,0.01847719112029462,3.2116026435013844e-08,-3.205458239895906e-06,0.0056418314570468205,7.325923582973995e-08,-3.205458239895906e-06,0.005275617447745356,6.495783424991283e-08,-3.0167910456647367e-06,0.12,0.03637575984214971,0.03616150603609461,0.0,0.0,0.0,0.9040457742703497,0.9040295275343807,0.013201573672590113,0.00036621400939555303,1.8866719423116947e-07,1.8866719423116947e-07
0.160499012,0.020897198360282185,2.4358794286961376e-08,-3.205458239895906e-06,0.0063815998173341534,7.08879392436345e-08,-3.205458239895906e-06,0.006006615571221132,6.247580422504306e-08,-3.0317689777612733e-06,0.12,0.03668261886478325,0.0365677905429533,0.0,0.0,0.0,0.9142023972277611,0.9141871299199041,0.014890582789109838,0.00037498424620737754,1.7368926213463285e-07,1.7368926213463285e-07
0.18021645900000002,0.02326329200027003,1.6774379932271064e-08,-3.205458239895906e-06,0.007108130190808194,6.855907647143952e-08,-3.205458239895906e-06,0.006742108779026611,6.007024580096772e-08,-3.044195507949063e-06,0.12,0.03684708134261868,0.036785540733410234,0.0,0.0,0.0,0.9196459015010601,0.9196311351694516,0.01652118322130015,0.00036602141188002023,1.6126273194684314e-07,1.6126273194684314e-07
0.200047309,0.025642994000257803,9.146344547887359e-09,-3.205458239895906e-06,0.007840587106308658,6.621121641627177e-08,-3.205458239895906e-06,0.007480011139943411,5.7695947166755445e-08,-3.055340820114142e-06,0.12,0.03693522544440744,0.03690224470277622,0.0,0.0,0.0,0.9225633781920886,0.9225488569467225,0.018162982860379276,0.00036057596646579387,1.5011741978176422e-07,1.5011741978176422e-07
0.220055309,0.02804395400024547,1.4501675322400627e-09,-3.205458239895906e-06,0.008580532290137359,6.383935302968865e-08,-3.205458239895906e-06,0.008219204684925801,5.532741139687245e-08,-3.0658796360522996e-06,0.12,0.036982466205143075,0.03696479227972932,0.0,0.0,0.0,0.9241270135974315,0.9241126003890345,0.019824749315392878,0.0003613276053118174,1.395786038436066e-07,1.395786038436066e-07
0.240384267,0.030483428960232938,-6.369467579298282e-09,-3.205458239895906e-06,0.009332861987898242,6.142779160087438e-08,-3.205458239895906e-06,0.008959090230706493,5.2950014786278866e-08,-3.076168769986273e-06,0.12,0.037007784548757874,0.036998314381091635,0.0,0.0,0.0,0.9249650489059631,0.9249506701486186,0.021524338729608183,0.00037377175728789386,1.292894699096333e-07,1.292894699096333e-07
0.260951252,0.03295146716022026,-1.4280660963852596e-08,-3.205458239895906e-06,0.010094279608526942,5.8987099214819823e-08,-3.205458239895906e-06,0.009699346640714823,5.0555144899403695e-08,-3.0863951548358646e-06,0.12,0.03702135342796285,0.03701628008960832,0.0,0.0,0.0,0.9254141942186094,0.9253998102618065,0.02325212051959583,0.00039493296790213184,1.1906308506004159e-07,1.1906308506004159e-07
0.280683609,0.0353193500002081,-2.187081052442572e-08,-3.205458239895906e-06,0.010824941658308516,5.664499252676022e-08,-3.205458239895906e-06,0.010439801799364148,4.8137523906091665e-08,-3.096654729436163e-06,0.12,0.03702862510471143,0.03702590825030241,0.0,0.0,0.0,0.9256549115593657,0.9256405009557546,0.024879548200942445,0.0003851398590383304,1.0880351045974317e-07,1.0880351045974317e-07
0.30100090900000004,0.03775742600019557,-2.9685961328104786e-08,-3.205458239895906e-06,0.011577342512566924,5.423320300876463e-08,-3.205458239895906e-06,0.011180363459864494,4.5693735522633434e-08,-3.106994460444453e-06,0.12,0.03703252175546323,0.037031067851715074,0.0,0.0,0.0,0.9257839207282952,0.9257694718574584,0.026577062540437974,0.00039697905279427643,9.846377945145331e-08,9.846377945145331e-08
