time,command_model_x,command_model_y,command_model_theta,measured_model_x,measured_model_y,measured_model_theta,actual_x,actual_y,actual_theta,command_v,odom_v,wheel_derived_v,command_delta,left_steering,right_steering,rear_left_omega,rear_right_omega,command_position_error,measured_position_error,command_heading_error,measured_heading_error
0.019989917000000003,0.4322010242509411,0.11645297183204452,0.5358246800496028,0.43037593517449113,0.11535848765518919,0.5396975207800523,0.4302649027110787,0.11526658249824497,0.5399779269318049,0.12,0.013540904086254609,0.009180841048497278,-0.3490658503988659,-0.307628593929976,-0.40270820022718495,0.26227331989270175,0.19676873253216215,0.0022707017127911056,0.00014413454063608516,0.0041532468822020885,0.0002804061517526213
0.040041874000000005,0.4342700201794373,0.11768147578120221,0.5314456907575313,0.43077123914593374,0.11559528206020511,0.5388589330046952,0.43062071669456353,0.11540012517898618,0.5393011942940961,0.12,0.022980310370945643,0.0205251580651387,-0.3490658503988659,-0.307628593929976,-0.40270820022718495,0.5873497952247826,0.43890810803215247,0.004303716590918028,0.00024646138978265245,0.007855503536564723,0.000442261289400836
0.060080560000000005,0.43634300298715106,0.11890010081215228,0.5270695996148472,0.4312509873271349,0.11588211371673617,0.5378417180532927,0.43110436756215187,0.11558127033596947,0.5383782017144282,0.12,0.02789379612725041,0.026443270665718385,-0.3490658503988659,-0.307628593929976,-0.40270820022718495,0.7569982884879886,0.5651652447979305,0.006201446351110062,0.0003346701289849647,0.011308602099580956,0.0005364836611354562
0.080384016,0.4384487591447996,0.1201256242482228,0.5226356874328071,0.4317819197801963,0.11619881472448487,0.5367166602159039,0.43165465588295365,0.11578678495746612,0.5373269124345335,0.12,0.030448717733633182,0.02952118710021831,-0.3490658503988659,-0.307628593929976,-0.40270820022718495,0.845241740063039,0.6308176149478765,0.008061350105512068,0.00043123616319937013,0.014691225001726371,0.0006102522186295367
0.10018974400000001,0.44050817430040745,0.12131198508036303,0.5183104701568235,0.43230018396210435,0.11650716910019619,0.5356191825494617,0.43165465588295365,0.11578678495746612,0.5373269124345335,0.12,0.030448717733633182,0.031122698774193366,-0.3490658503988659,-0.307628593929976,-0.40270820022718495,0.8911461153466246,0.6649888233630439,0.010436121155211529,0.0009672951018530581,0.019016442277709933,0.0017077298850717293
0.120191659,0.44259315176068637,0.12250109066143522,0.5139424091438299,0.43284678795141357,0.11683157324784715,0.5344624470476226,0.4322397508822761,0.11600458833299433,0.5362089344350098,0.12,0.0317780039719653,0.031955684352414394,-0.3490658503988659,-0.307628593929976,-0.40270820022718495,0.915016454646106,0.6827677629746136,0.012222825052028844,0.0010258645391576385,0.022266525291179895,0.0017464873873872524
0.14026565000000002,0.4446908351668781,0.12368532964855238,0.5095586080196733,0.4334076757884297,0.1171635779958267,0.5332762972614816,0.43284308871118016,0.11622840828173521,0.5350563088991286,0.12,0.032469076562935094,0.032388478429939825,-0.3490658503988659,-0.307628593929976,-0.40270820022718495,0.9274127952892379,0.6920111262077533,0.013999098983484505,0.0010923831571161972,0.025497700879455243,0.0017800116376469612
0.16011723900000002,0.44677039210501357,0.12484734314973531,0.5052233755203415,0.43396887139658524,0.11749486665693248,0.5320903284607484,0.43345604025913204,0.11645498752507195,0.5338857021273249,0.12,0.03282782552260376,0.03261287298046034,-0.3490658503988659,-0.307628593929976,-0.40270820022718495,0.9338338094410353,0.6968098395819816,0.01573860216177878,0.0011594586600739843,0.028662326606983424,0.0017953736665764497
0.18054514000000002,0.4489154844350472,0.12603380279972703,0.5007622867728194,0.43455171951985755,0.11783800589740125,0.5308594625009472,0.4346949567155798,0.11691047062214317,0.5315211177117455,0.12,0.0331093873122766,0.03272880836104843,-0.3490658503988659,-0.307628593929976,-0.40270820022718495,0.9371400647816256,0.6993003532707959,0.016895520076123084,0.0009385300107542857,0.030758830938926066,0.0006616552107983064
0.200005589,0.450964008481086,0.12715494503729374,0.4965124722639461,0.4351073662731785,0.11816421060898727,0.529686889546117,0.4346949567155798,0.11691047062214317,0.5315211177117455,0.12,0.0331093873122766,0.032788998092896565,-0.3490658503988659,-0.307628593929976,-0.40270820022718495,0.9388518094213442,0.7005980952234842,0.019225797808969977,0.0013198278667351222,0.03500864544779936,0.0018342281656285042
